time,latitude,longitude,depth,mag,id,place
2008-09-29T15:19:31.590Z,-29.756,-177.683,36,7,usp000ghyg,"Kermadec Islands, New Zealand"
2008-07-19T02:39:28.700Z,37.552,142.214,22,7,usp000gcjg,"off the east coast of Honshu, Japan"
2008-07-05T02:12:04.480Z,53.882,152.886,632.8,7.7,usp000gbc0,Sea of Okhotsk
2008-06-30T06:17:43.020Z,-58.227,-22.099,8,7,usp000gazv,South Sandwich Islands region
2008-05-12T06:28:01.570Z,31.002,103.322,19,7.9,usp000g650,"eastern Sichuan, China"
2008-04-12T00:30:12.600Z,-55.664,158.453,16,7.1,usp000g3q9,Macquarie Island region
2008-04-09T12:46:12.720Z,-20.071,168.892,33,7.3,usp000g3eq,"Loyalty Islands, New Caledonia"
2008-03-20T22:32:57.930Z,35.49,81.467,10,7.2,usp000g1w2,Xinjiang-Xizang border region
2008-02-25T08:36:33.030Z,-2.486,99.972,25,7.2,usp000fzx4,"Kepulauan Mentawai region, Indonesia"
2008-02-20T08:08:30.520Z,2.768,95.964,26,7.4,usp000fzau,"Simeulue, Indonesia"
2007-12-19T09:30:27.930Z,51.36,-179.509,34,7.2,usp000fuse,"Andreanof Islands, Aleutian Islands, Alaska"
2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,7.8,usp000fu3q,south of the Fiji Islands
2007-11-29T19:00:20.420Z,14.944,-61.274,156,7.4,usp000ftj1,"Martinique region, Windward Islands"
2007-11-14T15:40:50.530Z,-22.247,-69.89,40,7.7,usp000fshy,"Antofagasta, Chile"
2007-10-31T03:30:15.960Z,18.9,145.388,207,7.2,usp000frnh,"Pagan region, Northern Mariana Islands"
2007-09-30T05:23:34.070Z,-49.271,164.115,10,7.4,usp000fpgq,"Auckland Islands, New Zealand region"
2007-09-28T13:38:57.880Z,22.013,142.668,260,7.5,usp000fpca,"Volcano Islands, Japan region"
2007-09-13T03:35:28.720Z,-2.13,99.627,22,7,usp000fn3d,"Kepulauan Mentawai region, Indonesia"
2007-09-12T23:49:03.720Z,-2.625,100.841,35,7.9,usp000fn2b,"Kepulauan Mentawai region, Indonesia"
2007-09-12T11:10:26.830Z,-4.438,101.367,34,8.4,official20070912111026830_34,"southern Sumatra, Indonesia"
2007-09-02T01:05:18.150Z,-11.61,165.762,35,7.2,usp000fm6b,Santa Cruz Islands
2007-08-15T23:40:57.890Z,-13.386,-76.603,39,8,usp000fjta,near the coast of central Peru
2007-08-08T17:05:04.920Z,-5.859,107.419,280,7.5,usp000fj6k,"Java, Indonesia"
2007-08-01T17:08:51.400Z,-15.595,167.68,120,7.2,usp000fhm9,Vanuatu
2007-04-01T20:39:58.710Z,-8.466,157.043,24,8.1,usp000f83m,Solomon Islands
2007-03-25T00:40:01.610Z,-20.617,169.357,34,7.1,usp000f7b4,Vanuatu
2007-01-21T11:27:45.060Z,1.065,126.282,22,7.5,usp000f34b,Molucca Sea
2007-01-13T04:23:21.160Z,46.243,154.524,10,8.1,usp000f2ab,east of the Kuril Islands
2006-12-26T12:26:21.140Z,21.799,120.547,10,7.1,usp000f114,Taiwan region
2006-11-15T11:14:13.570Z,46.592,153.266,10,8.3,usp000exfn,Kuril Islands
2006-08-20T03:41:48.040Z,-61.029,-34.371,13,7,usp000erc2,Scotia Sea
2006-07-17T08:19:26.680Z,-9.284,107.419,20,7.7,usp000ensm,"south of Java, Indonesia"
2006-05-16T10:39:23.340Z,-31.81,-179.307,152,7.4,usp000eh87,Kermadec Islands region
2006-05-03T15:26:40.290Z,-20.187,-174.123,55,8,usp000eg5g,Tonga
2006-04-20T23:25:02.150Z,60.949,167.089,22,7.6,usp000ef1h,"near the east coast of Koryakskiy Avtonomnyy Okrug, Russia"
2006-02-22T22:19:07.800Z,-21.324,33.583,11,7,usp000eamh,Mozambique
2006-01-27T16:58:53.670Z,-5.473,128.131,397,7.6,usp000e8ys,Banda Sea
2006-01-02T22:13:40.490Z,-19.926,-178.178,582.9,7.2,usp000e7f0,Fiji region
2006-01-02T06:10:49.760Z,-60.957,-21.606,13,7.4,usp000e7dd,east of the South Sandwich Islands
2005-11-14T21:38:51.420Z,38.107,144.896,11,7,usp000e462,"off the east coast of Honshu, Japan"
